CustomerID,Lookalikes
C0001,"[('C0152', 0.9955678994979933), ('C0174', 0.963057592886393), ('C0011', 0.9611074863573804)]"
C0002,"[('C0134', 0.9733470924871731), ('C0106', 0.9364131118727304), ('C0027', 0.9301719638639164)]"
C0003,"[('C0052', 0.9907292740907041), ('C0129', 0.9622217524689999), ('C0137', 0.9602667296925663)]"
C0004,"[('C0108', 0.9835033609610928), ('C0102', 0.9809076946659815), ('C0113', 0.9800219808912504)]"
C0005,"[('C0159', 0.9997183337409653), ('C0027', 0.9759822153163742), ('C0007', 0.9535286774994922)]"
C0006,"[('C0187', 0.9223094315429825), ('C0158', 0.9157432828928771), ('C0148', 0.9053695208525367)]"
C0007,"[('C0159', 0.960242643096314), ('C0005', 0.9535286774994922), ('C0193', 0.9421592059271539)]"
C0008,"[('C0024', 0.9180694493168643), ('C0098', 0.9082164711217696), ('C0194', 0.9042961856950938)]"
C0009,"[('C0121', 0.9859356464604452), ('C0119', 0.9465739901444035), ('C0014', 0.935289997585735)]"
C0010,"[('C0199', 0.9939827001225662), ('C0062', 0.966700599690227), ('C0121', 0.9375385677820405)]"
C0011,"[('C0107', 0.994982946622712), ('C0001', 0.9611074863573804), ('C0152', 0.9406670111538854)]"
C0012,"[('C0013', 0.9703939823845616), ('C0126', 0.9624795006032216), ('C0039', 0.956166920186727)]"
C0013,"[('C0087', 0.9886773912510215), ('C0012', 0.9703939823845616), ('C0126', 0.9428311513510033)]"
C0014,"[('C0009', 0.935289997585735), ('C0063', 0.8918937502613156), ('C0121', 0.8784901949159933)]"
C0015,"[('C0058', 0.9708852594107351), ('C0036', 0.9433753537865209), ('C0144', 0.943330418441445)]"
C0016,"[('C0183', 0.9995634823986684), ('C0026', 0.9522404831036293), ('C0067', 0.9293755956782702)]"
C0017,"[('C0075', 0.9433268548536452), ('C0124', 0.9291210160707072), ('C0051', 0.9038234884529379)]"
C0018,"[('C0117', 0.9741699435407883), ('C0026', 0.9423460690147832), ('C0183', 0.9164229852054978)]"
C0019,"[('C0010', 0.928568474781031), ('C0086', 0.9219925340970988), ('C0103', 0.920987139424888)]"
C0020,"[('C0144', 0.9277067416973261), ('C0050', 0.8906150746293046), ('C0036', 0.8855667498009464)]"
